start,open,high,low,close,volume
1520812800,9527,9898.3,8770,9130.2,66568.94947384992
1520899200,9130.2,9482.4,8822,9135.2,60898.77992379004
1520985600,9136,9439.6,7916,8181.1,76878.4538595301
1521072000,8176,8418,7665.1,8250,81846.53024794003
1521158400,8251,8604.5,7902,8251,55777.66030171006
1521244800,8247,8367,7728.1,7846.2,48020.07400871996
1521331200,7838.6,8300,7240,8200.2,87487.95555123997
1521417600,8200.3,8717,8085.7,8600.2,72255.07275697004
1521504000,8600.1,9040,8305.1,8899.7,53806.437532309945
1521590400,8900,9177.5,8752,8888.2,42505.71364214992
1521676800,8888.3,9095.92211691,8450,8701.6,53359.58709631993
1521763200,8696,8917.6,8271.1,8916.37001879,44305.4917892699
1521849600,8914.4,9050.3,8463,8524.1,42645.86293295998
1521936000,8522.6,8674.4,8364.8,8445,30471.017123810016
1522022400,8445.3,8499.1,7835.9,8139.2,55257.33640831004
1522108800,8131.12312438,8210,7716.6,7784.6,49911.05238213005
1522195200,7785.1,8120.2,7702.1,7936.1,34530.58710711001
1522281600,7936,7973,6883,7094,75979.84662823005
1522368000,7094,7269,6533,6840.4,107146.2726202501
1522454400,6839.9,7222,6780.06217933,6925.4,67542.20200145003
1522540800,6925.3,7035.1,6425.1,6812.9,54554.31660677002
1522627200,6816.7,7129.8,6769.4,7053.4,44737.515583059976
1522713600,7053.3,7509.7,7019.9,7405.6,48600.270972000086
1522800000,7405.6,7422,6670,6785.9,52963.27069886999
1522886400,6785.9,6938,6564.9,6768.6,45399.14731776012
1522972800,6769,6864,6500.2,6611,41713.44588074
1523059200,6610.3,7080,6599.9,6892.6,39624.961498590026
1523145600,6892.6,7127,6883,7023.9,29068.363136419983
1523232000,7023.9,7189,6611,6770,74708.95708647012
1523318400,6773.7,6897.4,6650,6837.1,25719.722431310005
1523404800,6836,7017.4,6794,6943.1,28376.768294349997
1523491200,6943.1,8087,6753,7912,92459.52198166007
1523577600,7911.9,8240,7739.1,7886.9,59543.01215043009
1523664000,7886.9,8185,7820.5,8005,26308.686490459917
1523750400,8007.13719858,8450,7997.2,8357.5,31430.90745018999
1523836800,8357.4,8415.5,7900.3,8056.2,36752.27355105997
1523923200,8056.2,8185,7823,7888.9,27687.120434550015
1524009600,7888.9,8237.2,7870.5,8171.1,29073.81473686001
1524096000,8175.8,8297.4,8033.5,8273,28842.352128859966
1524182400,8273.8,8937.5,8219,8865.4,50425.51545875992
1524268800,8863.3,9063.8,8616,8912.5,39028.737425830026
1524355200,8912.4,9048.2,8751.08522139,8791.4,30556.186839940026
1524441600,8791.4,9011,8769,8940,23143.50873956001
1524528000,8940.6,9745,8929.9,9646.8,59439.56292896001
1524614400,9646.8,9767.4,8765.1,8867.5,74068.77358157009
1524700800,8867.4,9308,8652.2,9276.7,42931.552284189966
1524787200,9268.9,9381.1,8888.6,8920.1,29727.74460041998
1524873600,8920.1,9500,8750,9345.7,43106.98340456007
1524960000,9345.3,9565.1,9180,9400,27121.97521840998
1525046400,9401.2,9450,9100,9240.6,23173.119487409964
1525132800,9240.6,9247.3,8817.97469512,9066.8,25164.655846769976
1525219200,9068.2,9279.9,8968.3,9236.4,20115.95196490997
1525305600,9236.4,9875,9161,9759,36109.93740295996
1525392000,9759,9848,9542.5,9702.9,24027.45728119
1525478400,9703,9990,9685,9861.2,28877.536221890005
1525564800,9861.3,9964,9454,9658.7,26773.261255789992
1525651200,9658.6,9677.9,9182.7,9370,25441.21252348005
1525737600,9370,9471,9045.3,9184.7,25540.938718310037
1525824000,9184.8,9375.8,8980,9318.2,22482.287455180005
1525910400,9318.2,9393.9,9003,9018.1,23544.370648590026
1525996800,9018,9018.1,8333.8,8412.4,53054.66149844999
1526083200,8412.4,8631.7,8204.40576219,8466.9,36491.47613492998
1526169600,8471.4,8760,8318.3,8683.6,22781.88960907998
1526256000,8683.5,8884.5,8271,8670.8,36589.70302115999
1526342400,8670.1,8855.7,8415,8467.5,26072.961939909994
1526428800,8468.3,8492.7,8100,8336.1,32241.14284723999
1526515200,8336,8480.1,7982.5,8053.9,24896.691838920022
1526601600,8054.3,8277.2,7925,8238.9,23011.733643670024
1526688000,8239,8468,8140.2,8231,13886.559674760001
1526774400,8230.9,8597.9,8171.5,8523.6,15400.805703509996
1526860800,8522.6,8644,8309.1,8393.4,16919.08711708002
1526947200,8393.4,8408.28483299,7943.3,7977.3,20299.58111844998
1527033600,7977.2,8020,7404,7494.8,41101.13074868002
1527120000,7494.75035778,7729.83193573,7260,7576.7,38504.43958874
1527206400,7576.7,7654.1,7318.2,7456.7,25542.598908009986
1527292800,7457,7624.1,7281,7327.7,13769.639372369988
1527379200,7328.3,7425.4,7213.6,7339.7,15828.76623101001
1527465600,7339.6,7437.7,7062.4,7097.9,26122.17960057006
1527552000,7097.8,7536,7048.5,7465.2,27660.782548420008
1527638400,7465.3,7560,7270.5,7375.12085307,21849.20672701
1527724800,7375.2,7599.7,7338,7485.8,18973.550468520014
1527811200,7485.9,7599.8,7329.18847938,7521,18803.740460250014
1527897600,7521.1,7698.8,7441.5,7638.1,17039.907420980016
1527984000,7638,7779,7600,7718,13646.755621140013
1528070400,7718.1,7764,7451.1,7488.3,17915.365480299995
1528156800,7488.5,7675,7372,7621.9,16484.173325599975
1528243200,7622.2,7700,7491.7,7654,18185.80527041997
1528329600,7654,7756.3,7624.7,7688.9,10619.38083851001
